Timestamp,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,Annotation
2023-11-15 08:51:59,12.8,7,1.31,0.95,1.79,0.86,0.84,0.87,0.85,0.87,0.84,0.86,1.79,0.95,1.31,7,1
2023-11-15 08:52:59,8.27,3.35,0.17,0.061,0.018,0.031,0.037,0.017,0.035,0.029,0.019,0.016,0.021,0.053,0.232,3.01,0
2023-11-15 08:53:59,9.14,7.04,1.42,0.94,1.89,0.88,0.82,0.8,0.82,0.85,0.85,0.83,1.79,0.8,1.28,7.44,1
2023-11-15 08:54:59,12.44,6.89,1.38,0.96,1.81,0.8,0.85,0.83,0.85,0.83,0.8,0.9,1.7,0.9,1.11,7.34,1
2023-11-15 08:55:59,7.9,3.81,0.15,0.063,0.038,0.034,0.021,0.01,0.022,0.025,0.019,0.017,0.036,0.053,0.236,3.37,0
2023-11-15 08:56:59,7.85,3.62,0.17,0.06,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.06,0.17,3.62,0
2023-11-15 08:57:59,8.27,3.93,0.18,0.05,0.036,0.032,0.026,0.032,0.025,0.019,0.034,0.018,0.018,0.061,0.241,3.06,0
2023-11-15 08:58:59,9.36,7.25,1.28,0.94,1.57,0.83,0.8,0.86,0.85,0.86,0.87,0.84,1.89,0.9,1.5,6.7,1
2023-11-15 08:59:59,7.85,3.62,0.17,0.06,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.06,0.17,3.62,0
2023-11-15 09:00:59,7.56,3.91,0.15,0.063,0.03,0.031,0.025,0.01,0.015,0.024,0.03,0.035,0.019,0.063,0.161,3.55,0
2023-11-15 09:01:59,8.38,3.09,0.18,0.059,0.014,0.031,0.013,0.015,0.024,0.037,0.014,0.038,0.022,0.053,0.219,3.2,0
2023-11-15 09:02:59,8.3,3.11,0.15,0.056,0.017,0.027,0.01,0.011,0.016,0.012,0.03,0.015,0.033,0.059,0.265,3.68,0
2023-11-15 09:03:59,7.83,3.07,0.16,0.061,0.033,0.019,0.026,0.034,0.028,0.035,0.013,0.023,0.011,0.051,0.259,3.93,0
2023-11-15 09:04:59,7.78,3.28,0.18,0.064,0.013,0.026,0.029,0.015,0.01,0.013,0.025,0.037,0.014,0.064,0.136,3.66,0
2023-11-15 09:05:59,8.23,3.16,0.16,0.056,0.019,0.029,0.015,0.029,0.019,0.016,0.017,0.031,0.012,0.057,0.211,3.34,0
2023-11-15 09:06:59,7.96,4,0.17,0.058,0.033,0.038,0.028,0.035,0.028,0.026,0.028,0.024,0.033,0.065,0.212,3.66,0
2023-11-15 09:07:59,7.85,3.9,0.18,0.064,0.024,0.038,0.03,0.02,0.023,0.019,0.014,0.013,0.026,0.06,0.234,3.46,0
2023-11-15 09:08:59,8.21,3.29,0.18,0.065,0.014,0.038,0.033,0.025,0.02,0.018,0.026,0.015,0.011,0.058,0.157,3.4,0
2023-11-15 09:09:59,7.54,3.58,0.17,0.055,0.013,0.029,0.034,0.019,0.027,0.023,0.037,0.016,0.018,0.054,0.255,3.75,0
2023-11-15 09:10:59,7.86,3.23,0.18,0.052,0.033,0.035,0.026,0.021,0.033,0.035,0.034,0.037,0.021,0.064,0.124,3.17,0
2023-11-15 09:11:59,7.78,3.77,0.16,0.059,0.012,0.03,0.014,0.032,0.037,0.014,0.028,0.023,0.012,0.05,0.132,3.5,0
2023-11-15 09:12:59,8.17,3.52,0.18,0.059,0.016,0.016,0.033,0.012,0.018,0.015,0.031,0.022,0.012,0.061,0.157,3.71,0
2023-11-15 09:13:59,7.93,3.05,0.16,0.057,0.018,0.011,0.033,0.013,0.012,0.038,0.013,0.017,0.028,0.06,0.137,3.4,0
